"","tconst","id","title","bechdel_rating","year","averageRating","numVotes","runtimeMinutes","genres","primaryTitle"
"4590","0827517",5213,"Reprise","1",2006,7.4,8315,"105","Drama","Reprise"
"4591","0829297",3663,"Ten Inch Hero","3",2007,7.5,10955,"102","Comedy,Drama,Romance","Ten Inch Hero"
"4592","0829482",651,"Superbad","2",2007,7.6,460749,"113","Comedy","Superbad"
"4593","0830515",465,"Quantum of Solace","1",2008,6.6,361444,"106","Action,Adventure,Thriller","Quantum of Solace"
"4594","0830570",5584,"I Can&#39;t Think Straight","3",2008,6.7,6635,"82","Drama,Romance","I Can't Think Straight"
"4595","0831387",5466,"Godzilla","2",2014,6.4,330782,"123","Action,Adventure,Sci-Fi","Godzilla"
"4596","0831887",4805,"Spirit, The","2",2008,4.8,56261,"103","Action,Crime,Fantasy","The Spirit"
"4597","0831888",2002,"Tekkon kinkurito","0",2006,7.7,10693,"111","Action,Adventure,Animation","Tekkonkinkreet"
"4598","0832266",545,"Definitely, Maybe","3",2008,7.2,139145,"112","Comedy,Drama,Romance","Definitely, Maybe"
"4599","0832958",1605,"On the Trail of Igor Rizzi","0",2006,6.2,135,"91","Comedy,Drama","On the Trail of Igor Rizzi"
"4600","0833098",7096,"&quot;Masters of Horror&quot; The Screwfly Solution","3",2006,6.4,2094,"59","Horror","The Screwfly Solution"
"4601","0834001",539,"Underworld: Rise of the Lycans","1",2009,6.6,135812,"92","Action,Adventure,Fantasy","Underworld: Rise of the Lycans"
