,nconst,tconst,crew.type,primaryName,primaryProfession,gender
370,nm0000095,91167,writer,Woody Allen,"writer,director,actor",Male
371,nm0000095,109644,director,Woody Allen,"writer,director,actor",Male
372,nm0000095,77742,writer,Woody Allen,"writer,director,actor",Male
373,nm0000095,107507,director,Woody Allen,"writer,director,actor",Male
374,nm0000095,109644,writer,Woody Allen,"writer,director,actor",Male
375,nm0000095,93818,director,Woody Allen,"writer,director,actor",Male
376,nm0000095,93818,writer,Woody Allen,"writer,director,actor",Male
377,nm0000095,99012,writer,Woody Allen,"writer,director,actor",Male
378,nm0000095,66808,director,Woody Allen,"writer,director,actor",Male
379,nm0000095,77742,director,Woody Allen,"writer,director,actor",Male
380,nm0000095,2334873,writer,Woody Allen,"writer,director,actor",Male
381,"nm0000095,nm0000634,nm0000697,nm0346436,nm0372942,nm0375342,nm0816143",61452,writer,,unknown,
382,nm0000101,106598,writer,Dan Aykroyd,"writer,actor,producer",Male
383,nm0000101,92925,writer,Dan Aykroyd,"writer,actor,producer",Male
384,nm0000101,90056,writer,Dan Aykroyd,"writer,actor,producer",Male
385,nm0000101,87332,writer,Dan Aykroyd,"writer,actor,producer",Male
386,nm0000101,80455,writer,Dan Aykroyd,"writer,actor,producer",Male
387,nm0000101,1289401,writer,Dan Aykroyd,"writer,actor,producer",Male
388,nm0000101,97428,writer,Dan Aykroyd,"writer,actor,producer",Male
389,nm0000106,1172233,director,Drew Barrymore,"producer,actress,soundtrack",Female
390,nm0000108,100263,writer,Luc Besson,"writer,producer,director",
391,nm0000108,344854,director,Luc Besson,"writer,producer,director",
392,nm0000108,2239822,writer,Luc Besson,"writer,producer,director",
393,nm0000108,2872732,director,Luc Besson,"writer,producer,director",
394,nm0000108,344854,writer,Luc Besson,"writer,producer,director",
395,nm0000108,1129442,writer,Luc Besson,"writer,producer,director",
396,nm0000108,473753,writer,Luc Besson,"writer,producer,director",
397,nm0000108,2938956,writer,Luc Besson,"writer,producer,director",
398,nm0000108,414852,writer,Luc Besson,"writer,producer,director",
399,nm0000108,342258,writer,Luc Besson,"writer,producer,director",
400,nm0000108,1430612,writer,Luc Besson,"writer,producer,director",
401,nm0000108,100263,director,Luc Besson,"writer,producer,director",
402,nm0000108,107843,writer,Luc Besson,"writer,producer,director",
403,nm0000108,271027,writer,Luc Besson,"writer,producer,director",
404,nm0000108,2172934,writer,Luc Besson,"writer,producer,director",
405,nm0000108,1397280,writer,Luc Besson,"writer,producer,director",
406,nm0000108,416496,writer,Luc Besson,"writer,producer,director",
407,nm0000108,110413,writer,Luc Besson,"writer,producer,director",
408,nm0000108,2239822,director,Luc Besson,"writer,producer,director",
409,nm0000108,1179025,writer,Luc Besson,"writer,producer,director",
410,nm0000108,110413,director,Luc Besson,"writer,producer,director",
411,nm0000108,936501,writer,Luc Besson,"writer,producer,director",
412,nm0000108,473753,director,Luc Besson,"writer,producer,director",
413,nm0000108,2872732,writer,Luc Besson,"writer,producer,director",
414,nm0000108,293662,writer,Luc Besson,"writer,producer,director",
415,nm0000108,1179025,director,Luc Besson,"writer,producer,director",
416,nm0000108,388482,writer,Luc Besson,"writer,producer,director",
417,nm0000108,119116,writer,Luc Besson,"writer,producer,director",
418,nm0000108,2404311,director,Luc Besson,"writer,producer,director",
419,nm0000108,2404311,writer,Luc Besson,"writer,producer,director",
420,nm0000108,1657507,writer,Luc Besson,"writer,producer,director",
421,nm0000108,119116,director,Luc Besson,"writer,producer,director",
422,nm0000108,316732,writer,Luc Besson,"writer,producer,director",
423,nm0000110,105130,director,Kenneth Branagh,"actor,producer,director",Male
424,nm0000110,97499,director,Kenneth Branagh,"actor,producer,director",Male
425,nm0000110,97499,writer,Kenneth Branagh,"actor,producer,director",Male
426,nm0000110,3402236,director,Kenneth Branagh,"actor,producer,director",Male
427,nm0000110,1661199,director,Kenneth Branagh,"actor,producer,director",Male
428,nm0000110,116477,director,Kenneth Branagh,"actor,producer,director",Male
429,nm0000110,1205537,director,Kenneth Branagh,"actor,producer,director",Male
430,nm0000110,800369,director,Kenneth Branagh,"actor,producer,director",Male
431,nm0000110,116477,writer,Kenneth Branagh,"actor,producer,director",Male
432,nm0000116,111503,writer,James Cameron,"writer,producer,director",
433,nm0000116,120338,director,James Cameron,"writer,producer,director",
434,nm0000116,103064,writer,James Cameron,"writer,producer,director",
435,nm0000116,1340138,writer,James Cameron,"writer,producer,director",
436,nm0000116,89880,writer,James Cameron,"writer,producer,director",
437,nm0000116,96754,writer,James Cameron,"writer,producer,director",
438,nm0000116,181852,writer,James Cameron,"writer,producer,director",
439,nm0000116,88247,director,James Cameron,"writer,producer,director",
440,nm0000116,114558,writer,James Cameron,"writer,producer,director",
441,nm0000116,90605,director,James Cameron,"writer,producer,director",
442,nm0000116,96754,director,James Cameron,"writer,producer,director",
443,nm0000116,111503,director,James Cameron,"writer,producer,director",
444,nm0000116,88247,writer,James Cameron,"writer,producer,director",
445,nm0000116,499549,writer,James Cameron,"writer,producer,director",
446,nm0000116,120338,writer,James Cameron,"writer,producer,director",
447,nm0000116,90605,writer,James Cameron,"writer,producer,director",
448,nm0000116,499549,director,James Cameron,"writer,producer,director",
449,nm0000116,103064,director,James Cameron,"writer,producer,director",
450,nm0000118,88172,director,John Carpenter,"soundtrack,writer,music_department",
451,nm0000118,114852,director,John Carpenter,"soundtrack,writer,music_department",
452,nm0000118,116225,writer,John Carpenter,"soundtrack,writer,music_department",
453,nm0000118,82340,writer,John Carpenter,"soundtrack,writer,music_department",
454,nm0000118,82495,writer,John Carpenter,"soundtrack,writer,music_department",
455,nm0000118,93777,director,John Carpenter,"soundtrack,writer,music_department",
456,nm0000118,96256,director,John Carpenter,"soundtrack,writer,music_department",
457,nm0000118,113409,director,John Carpenter,"soundtrack,writer,music_department",
458,nm0000118,93777,writer,John Carpenter,"soundtrack,writer,music_department",
459,nm0000118,69945,director,John Carpenter,"soundtrack,writer,music_department",
